TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
h000314,26,남,50,5,1,2,4,8,,6,6,3,1,26,26710,48,48310,50,50130,1,1,1,1,7,5,2,5,부산광역시,제주,2인 여행(가족 외),2023-05-31~2023-06-02,1,9,2,1
h002866,11,여,20,6,1,1,3,3,,3,10,1,1,50,50110,42,42830,43,43800,4,2,3,3,6,2,3,6,서울특별시,제주,부모 동반 여행,2023-08-13~2023-08-15,3,9,1,2
h002028,43,남,20,6,1,1,1,3,,5,,3,10,50,50110,26,26230,11,11200,3,1,2,3,4,2,5,5,충청북도,제주,2인 여행(가족 외),2023-07-07~2023-07-09,2,1,7,1
h000065,26,남,40,6,1,1,3,4,,1,5,2,1,50,50130,42,42150,47,47130,4,1,2,1,1,4,5,7,부산광역시,제주,2인 여행(가족 외),2023-05-16~2023-05-18,4,5,3,1
h002395,28,남,20,6,1,1,4,2,,4,10,2,3,28,28245,11,11500,28,28710,3,3,3,3,3,3,3,5,인천광역시,제주,부모 동반 여행,2023-08-20~2023-08-22,2,1,3,3
h000897,26,여,20,4,4,1,1,13,,4,,2,1,50,50110,11,11500,47,47930,6,4,1,3,6,3,2,6,부산광역시,제주,3대 동반 여행(친척 포함),2023-06-24~2023-06-26,1,2,3,4
h001794,28,남,20,6,2,1,2,12,,3,3,4,1,42,42150,28,28110,26,26350,4,1,2,2,4,4,2,7,인천광역시,제주,2인 여행(가족 외),2023-07-11~2023-07-13,2,3,7,1
h002713,11,여,50,7,1,2,3,3,,5,9,3,3,50,50130,42,42780,30,30200,2,2,2,2,6,3,7,4,서울특별시,제주,자녀 동반 여행,2023-08-17~2023-08-21,3,2,1,2
h002132,41,남,30,6,2,1,4,12,,1,5,3,2,26,26350,26,26110,11,11710,5,5,5,5,5,5,5,5,경기도,제주,3인 이상 여행(가족 외),2023-08-01~2023-08-03,3,1,7,5
h002083,48,여,30,6,1,1,1,3,,4,,3,3,26,26500,41,41190,27,27230,4,2,6,5,6,4,1,6,경상남도,제주,2인 여행(가족 외),2023-07-20~2023-07-23,3,2,5,1
h001172,41,남,30,6,1,2,2,4,,9,9,2,1,50,50110,27,27260,26,26350,4,1,2,5,6,2,4,3,경기도,제주,나홀로 여행,2023-06-24~2023-06-25,2,1,4,0
h000218,50,남,50,7,1,2,5,3,,6,6,2,2,42,42230,11,11170,30,30200,6,5,5,1,1,7,7,1,제주특별자치도,제주,자녀 동반 여행,2023-05-28~2023-05-28,2,3,6,4
h004998,26,여,20,6,1,1,1,3,,4,,2,1,45,45180,29,29155,11,11170,2,5,3,3,6,6,5,6,부산광역시,제주,부모 동반 여행,2023-08-25~2023-08-27,9,3,2,3
h000456,11,여,30,7,1,1,3,2,,4,8,3,2,50,50130,11,11110,26,26500,1,4,4,4,2,4,2,4,서울특별시,제주,2인 여행(가족 외),2023-06-01~2023-06-03,1,7,4,1
h006464,50,남,40,6,1,2,3,8,,5,6,2,2,50,50130,50,50110,26,26350,2,1,1,6,7,2,7,1,제주특별자치도,제주,자녀 동반 여행,2023-09-17~2023-09-17,2,3,1,1
h006321,50,여,30,7,5,1,2,2,,5,11,2,1,50,50110,50,50130,11,11710,1,1,4,1,7,4,1,7,제주특별자치도,제주,2인 여행(가족 외),2023-09-17~2023-09-17,7,1,6,1
h000691,41,남,40,5,1,1,3,4,,4,4,3,10,42,42150,42,42210,50,50110,4,4,4,4,4,4,1,7,경기도,제주,나홀로 여행,2023-06-19~2023-06-22,1,2,7,0
h001860,47,남,40,6,1,1,3,3,,4,8,2,1,50,50110,47,47820,47,47130,3,2,5,4,2,4,6,2,경상북도,제주,2인 여행(가족 외),2023-07-16~2023-07-19,3,2,1,1
h001797,11,여,20,5,2,1,4,12,,1,5,3,2,50,50130,11,11440,42,42210,6,6,6,3,5,5,4,4,충청남도,제주,2인 여행(가족 외),2023-07-06~2023-07-09,2,3,7,1
h001152,26,남,20,6,1,2,5,11,,2,7,3,2,50,50110,48,48870,26,26710,1,6,6,5,2,6,3,3,부산광역시,제주,3인 이상 여행(가족 외),2023-06-17~2023-06-19,3,2,1,5
h001492,41,여,50,4,1,2,4,3,,4,5,3,2,50,50130,42,42210,43,43150,3,1,3,3,3,5,3,5,경기도,제주,자녀 동반 여행,2023-06-30~2023-07-03,3,2,1,3
h000323,50,남,50,5,1,2,2,13,,5,5,3,2,50,50110,50,50130,11,11710,2,6,2,4,2,2,4,4,제주특별자치도,제주,2인 가족 여행,2023-05-29~2023-05-29,1,2,,1
h001096,11,남,20,7,1,1,4,12,,3,7,3,6,50,50110,42,42150,41,41820,7,1,3,3,7,4,4,4,서울특별시,제주,2인 여행(가족 외),2023-06-28~2023-07-01,1,3,2,1
h000717,50,여,50,3,1,2,2,11,,1,3,1,3,26,26500,46,46890,11,11230,4,3,1,4,6,1,4,7,제주특별자치도,제주,나홀로 여행,2023-06-13~2023-06-13,1,2,7,0
h003641,50,여,30,4,1,2,4,4,,4,6,3,4,28,28260,41,41270,41,41460,4,4,2,2,6,2,2,7,제주특별자치도,제주,3인 이상 여행(가족 외),2023-09-03~2023-09-04,2,5,1,3
h006709,50,여,30,6,1,2,4,4,,3,5,2,4,50,50130,26,26350,11,11410,2,2,3,1,2,3,2,7,제주특별자치도,제주,자녀 동반 여행,2023-09-22~2023-09-22,1,,,3
h004365,11,남,30,4,1,2,3,13,,4,4,3,2,41,41110,50,50130,47,47130,4,2,3,3,3,5,2,4,서울특별시,제주,3인 이상 여행(가족 외),2023-09-05~2023-09-08,1,3,9,2
h006332,50,여,50,6,1,2,3,11,,1,4,3,2,11,11710,47,47130,42,42210,4,3,4,3,2,5,3,5,제주특별자치도,제주,자녀 동반 여행,2023-09-09~2023-09-09,7,3,8,1
h002796,11,남,30,6,1,1,1,2,,5,,3,4,50,50130,11,11740,26,26350,4,3,4,2,2,3,3,5,서울특별시,제주,2인 여행(가족 외),2023-08-04~2023-08-06,1,3,2,1
h001595,41,남,40,6,1,2,2,2,,6,9,3,5,42,42150,50,50110,41,41820,4,1,4,6,3,2,6,4,경기도,제주,2인 여행(가족 외),2023-06-30~2023-07-02,1,2,3,1
h005163,42,여,30,6,1,1,1,3,,4,,2,1,50,50130,26,26350,11,11110,4,1,1,1,1,4,7,6,강원도,제주,나홀로 여행,2023-08-26~2023-08-31,7,6,1,0
h001146,28,남,20,6,1,1,1,13,,2,,3,1,50,50130,50,50110,42,42150,3,1,1,4,6,6,6,7,인천광역시,제주,2인 여행(가족 외),2023-06-25~2023-06-27,3,1,2,1
h006594,50,남,40,8,5,2,4,2,,5,5,2,1,50,50130,11,11110,11,11440,4,2,3,3,3,4,3,4,제주특별자치도,제주,자녀 동반 여행,2023-09-17~2023-09-17,2,3,8,3
h001719,11,여,30,6,1,1,6,12,,2,5,3,4,26,26350,50,50130,50,50110,3,2,2,5,5,4,3,6,서울특별시,제주,2인 여행(가족 외),2023-07-04~2023-07-07,2,1,3,1
h006416,29,여,30,5,1,1,4,2,,3,5,3,4,50,50110,46,46870,30,30230,2,2,1,5,1,1,5,6,광주광역시,제주,2인 가족 여행,2023-09-15~2023-09-16,1,2,7,1
h002246,11,여,30,6,1,1,1,2,,6,,2,5,42,42830,50,50110,50,50130,3,1,1,2,4,1,7,7,서울특별시,제주,나홀로 여행,2023-07-18~2023-07-20,7,1,5,0
h005253,41,남,60,5,1,3,3,3,,5,12,2,1,42,42210,46,46900,28,28720,1,1,2,6,7,7,7,6,경기도,제주,3인 이상 여행(가족 외),2023-09-02~2023-09-05,6,3,1,2
h000344,41,남,40,4,1,4,1,4,,8,,3,3,42,42720,41,41820,50,50130,4,6,6,6,7,6,7,2,경기도,제주,자녀 동반 여행,2023-06-04~2023-06-07,3,1,2,1
h002496,41,남,30,6,1,1,1,3,,4,,3,2,50,50110,26,26350,45,45110,4,4,3,3,4,7,7,4,경기도,제주,부모 동반 여행,2023-07-28~2023-07-31,3,1,10,3
h000534,41,여,30,6,3,1,4,12,,1,6,3,2,50,50110,26,26320,46,46130,4,1,2,4,4,4,1,7,경기도,제주,2인 여행(가족 외),2023-06-06~2023-06-13,4,3,1,1
h001415,43,남,30,6,1,1,1,3,,5,,3,6,11,11560,11,11680,27,27260,4,1,4,6,4,4,6,4,충청북도,제주,2인 여행(가족 외),2023-06-24~2023-06-27,2,1,3,1
h002503,50,여,20,6,1,1,4,12,,4,9,2,2,48,48120,26,26530,50,50110,1,1,1,1,5,3,1,7,제주특별자치도,제주,2인 여행(가족 외),2023-07-28~2023-07-29,3,1,2,1
h000487,50,여,40,6,1,2,4,7,,4,8,2,1,50,50110,50,50130,11,11305,3,3,2,2,2,2,5,6,제주특별자치도,제주,자녀 동반 여행,2023-06-03~2023-06-03,2,6,3,3
h001703,50,여,40,6,1,1,1,3,,4,,2,1,50,50110,47,47820,27,27290,4,1,1,1,7,4,1,7,제주특별자치도,제주,2인 가족 여행,2023-07-08~2023-07-08,1,7,5,1
